age,gender,race,education,hours_per_week,income
70,Female,White,Masters,44,<=50K
22,Male,White,Some-college,45,<=50K
68,Female,Hispanic,Some-college,28,<=50K
72,Female,White,HS-grad,34,<=50K
34,Male,White,Some-college,37,<=50K
69,Male,White,Bachelors,48,>50K
43,Male,Black,HS-grad,48,<=50K
68,Male,Hispanic,Assoc-voc,32,<=50K
23,Male,White,Bachelors,49,>50K
58,Female,White,Some-college,37,>50K
37,Male,White,Assoc-voc,34,<=50K
34,Female,White,Some-college,54,<=50K
55,Male,White,Some-college,38,>50K
58,Male,Black,Assoc-voc,54,<=50K
34,Female,Asian,Doctorate,48,>50K
49,Male,White,Assoc-voc,37,<=50K
50,Male,White,Bachelors,52,>50K
72,Female,White,Assoc-voc,42,<=50K
29,Female,Black,Assoc-voc,44,<=50K
42,Male,White,Assoc-voc,52,<=50K
30,Male,White,HS-grad,46,<=50K
25,Female,White,Some-college,36,<=50K
46,Male,White,HS-grad,34,<=50K
69,Male,White,Masters,43,<=50K
61,Female,Hispanic,HS-grad,28,<=50K
26,Female,White,Some-college,42,<=50K
58,Female,White,Some-college,35,<=50K
59,Male,White,HS-grad,40,<=50K
40,Male,Hispanic,HS-grad,31,<=50K
70,Male,White,HS-grad,43,<=50K
26,Male,White,Some-college,38,<=50K
56,Female,Black,Assoc-voc,44,<=50K
72,Female,Hispanic,Bachelors,51,<=50K
25,Male,White,Some-college,49,<=50K
32,Male,White,Some-college,43,<=50K
24,Female,White,Bachelors,40,<=50K
44,Female,White,Some-college,45,<=50K
34,Female,Asian,Some-college,45,<=50K
62,Female,Asian,Some-college,25,<=50K
71,Male,Black,Bachelors,41,<=50K
41,Male,White,HS-grad,34,<=50K
62,Male,Hispanic,Some-college,31,<=50K
37,Male,Black,Some-college,46,<=50K
70,Female,White,Assoc-voc,30,<=50K
27,Female,White,Masters,45,<=50K
47,Female,White,Assoc-voc,42,<=50K
24,Male,White,Bachelors,40,<=50K
28,Male,White,Bachelors,49,<=50K
42,Female,White,Bachelors,44,>50K
28,Female,Black,Bachelors,38,<=50K
70,Male,Hispanic,Some-college,37,<=50K
62,Male,White,Assoc-voc,46,>50K
53,Female,Black,Bachelors,41,>50K
47,Male,White,HS-grad,50,<=50K
67,Male,White,Bachelors,39,<=50K
57,Male,White,Assoc-voc,39,<=50K
64,Male,White,Assoc-voc,45,>50K
45,Female,White,Assoc-voc,38,<=50K
39,Female,Hispanic,Bachelors,44,<=50K
66,Male,White,Masters,36,>50K
42,Male,Hispanic,Some-college,38,<=50K
45,Female,Hispanic,Some-college,54,<=50K
66,Female,White,Doctorate,39,>50K
68,Male,White,HS-grad,38,<=50K
44,Female,White,HS-grad,42,<=50K
49,Male,White,Bachelors,43,<=50K
69,Male,White,Some-college,36,<=50K
25,Male,White,Doctorate,49,<=50K
34,Male,White,Some-college,48,<=50K
71,Male,White,Assoc-voc,37,<=50K
50,Female,Hispanic,Some-college,48,<=50K
58,Male,White,HS-grad,28,<=50K
62,Male,White,Bachelors,33,>50K
48,Female,White,Some-college,46,<=50K
68,Female,White,Some-college,37,<=50K
62,Male,Hispanic,Assoc-voc,40,<=50K
34,Female,White,Bachelors,56,<=50K
38,Female,Hispanic,HS-grad,32,<=50K
43,Female,White,Bachelors,47,<=50K
54,Male,Asian,Bachelors,39,>50K
58,Male,White,Masters,42,>50K
72,Female,White,HS-grad,32,<=50K
59,Female,White,Doctorate,56,>50K
64,Male,White,HS-grad,39,<=50K
55,Male,White,Assoc-voc,28,<=50K
36,Female,White,Bachelors,51,<=50K
36,Male,White,Some-college,48,<=50K
35,Male,White,Bachelors,53,>50K
48,Female,White,Some-college,51,<=50K
68,Male,White,Some-college,45,<=50K
69,Female,White,HS-grad,34,<=50K
43,Female,White,HS-grad,45,<=50K
27,Male,White,HS-grad,55,<=50K
72,Male,Black,Bachelors,40,<=50K
55,Male,White,HS-grad,36,<=50K
33,Male,White,Bachelors,44,>50K
70,Female,White,Assoc-voc,48,<=50K
50,Female,White,HS-grad,48,>50K
65,Female,White,HS-grad,41,<=50K
45,Male,Hispanic,Assoc-voc,40,<=50K
30,Male,White,Some-college,48,<=50K
23,Male,Hispanic,Bachelors,62,<=50K
53,Female,White,Bachelors,57,>50K
64,Female,Hispanic,Bachelors,54,>50K
68,Male,White,Masters,46,>50K
25,Male,White,Some-college,53,<=50K
69,Female,Hispanic,Some-college,35,<=50K
67,Male,White,Bachelors,51,>50K
52,Male,Asian,HS-grad,46,<=50K
60,Female,White,Doctorate,40,<=50K
45,Male,Hispanic,Masters,42,>50K
32,Female,White,HS-grad,37,<=50K
44,Female,White,Some-college,42,<=50K
72,Male,Black,Bachelors,45,<=50K
23,Female,Black,Some-college,43,<=50K
62,Female,Hispanic,HS-grad,38,<=50K
22,Male,White,Masters,39,>50K
63,Female,White,HS-grad,34,<=50K
35,Male,Black,Assoc-voc,42,<=50K
27,Male,White,Assoc-voc,50,<=50K
55,Female,Black,Assoc-voc,47,<=50K
40,Female,White,Masters,46,>50K
37,Female,Asian,Masters,58,>50K
49,Male,White,HS-grad,32,<=50K
33,Male,Hispanic,Some-college,41,<=50K
42,Female,White,Some-college,48,<=50K
71,Female,White,HS-grad,38,<=50K
55,Female,White,HS-grad,42,<=50K
22,Male,Asian,Bachelors,46,>50K
22,Female,White,Doctorate,46,>50K
28,Male,Hispanic,Masters,54,<=50K
58,Female,White,HS-grad,37,<=50K
46,Male,White,HS-grad,33,<=50K
55,Male,White,Bachelors,33,<=50K
69,Male,White,Bachelors,43,<=50K
56,Male,White,HS-grad,27,<=50K
66,Male,White,Some-college,33,<=50K
52,Female,Asian,Bachelors,51,<=50K
56,Female,Black,Masters,47,<=50K
37,Female,White,Bachelors,56,>50K
52,Male,White,Bachelors,37,>50K
24,Male,White,Bachelors,44,<=50K
38,Male,White,HS-grad,32,<=50K
49,Male,White,Bachelors,47,>50K
62,Male,White,Some-college,40,<=50K
58,Male,White,HS-grad,21,<=50K
28,Male,Hispanic,HS-grad,43,<=50K
23,Male,White,Masters,54,>50K
60,Female,Asian,Doctorate,50,>50K
28,Female,Hispanic,Bachelors,39,<=50K
63,Female,Hispanic,Assoc-voc,39,<=50K
38,Male,Black,Doctorate,52,<=50K
31,Male,White,Some-college,37,<=50K
52,Female,White,Some-college,42,>50K
51,Male,White,Assoc-voc,47,<=50K
54,Male,Asian,HS-grad,49,<=50K
30,Male,Black,Assoc-voc,51,>50K
54,Male,White,Bachelors,45,<=50K
39,Male,Black,HS-grad,44,<=50K
25,Male,Black,Bachelors,42,<=50K
53,Male,White,HS-grad,45,<=50K
30,Male,White,HS-grad,52,<=50K
36,Female,White,HS-grad,52,<=50K
51,Male,Hispanic,Some-college,45,<=50K
62,Male,White,Masters,49,>50K
49,Male,White,Assoc-voc,53,<=50K
69,Male,White,Bachelors,53,<=50K
71,Male,White,HS-grad,46,>50K
41,Male,White,Bachelors,37,>50K
72,Male,White,Assoc-voc,36,<=50K
60,Female,White,Some-college,27,<=50K
51,Female,White,Some-college,34,>50K
67,Male,Hispanic,Bachelors,44,<=50K
64,Male,White,Bachelors,37,<=50K
38,Female,White,Bachelors,49,<=50K
41,Male,White,Bachelors,44,<=50K
68,Male,White,Bachelors,52,>50K
49,Female,White,HS-grad,43,<=50K
55,Female,White,HS-grad,42,<=50K
38,Male,White,Bachelors,44,>50K
25,Male,White,Some-college,38,<=50K
54,Female,Black,Some-college,29,<=50K
56,Male,White,HS-grad,50,<=50K
69,Male,White,HS-grad,30,<=50K
31,Male,White,Some-college,33,<=50K
69,Female,White,Assoc-voc,42,<=50K
51,Female,White,Some-college,35,<=50K
70,Female,Hispanic,Bachelors,54,<=50K
62,Male,White,Assoc-voc,28,<=50K
71,Female,White,Bachelors,33,<=50K
22,Male,White,Masters,53,>50K
23,Male,White,HS-grad,42,<=50K
24,Male,Hispanic,Some-college,40,<=50K
30,Male,Asian,Some-college,43,>50K
68,Female,Black,Bachelors,41,<=50K
28,Male,White,Assoc-voc,36,<=50K
43,Male,Hispanic,Some-college,49,<=50K
29,Female,White,HS-grad,39,<=50K
30,Male,White,Some-college,46,<=50K
71,Male,Hispanic,HS-grad,39,<=50K
32,Female,White,Assoc-voc,48,<=50K
47,Female,White,Bachelors,47,<=50K
43,Female,White,Some-college,47,<=50K
42,Male,Asian,Some-college,32,<=50K
36,Female,White,Some-college,38,>50K
46,Male,White,Bachelors,43,>50K
52,Female,Hispanic,Doctorate,55,>50K
65,Male,Black,Some-college,27,<=50K
44,Male,Black,Bachelors,55,<=50K
43,Female,White,HS-grad,52,<=50K
24,Male,Black,HS-grad,49,>50K
58,Male,White,Some-college,48,<=50K
23,Female,White,Bachelors,39,<=50K
72,Male,Hispanic,Masters,47,<=50K
64,Male,White,Some-college,48,>50K
45,Male,White,HS-grad,40,<=50K
48,Female,White,Bachelors,42,<=50K
32,Female,Hispanic,Some-college,50,<=50K
59,Female,White,Some-college,43,<=50K
33,Male,Asian,Some-college,39,<=50K
32,Female,White,Assoc-voc,36,>50K
33,Male,White,Bachelors,43,>50K
43,Male,White,Masters,48,>50K
48,Female,Asian,Doctorate,39,>50K
47,Female,Hispanic,Assoc-voc,40,<=50K
56,Male,White,Some-college,46,<=50K
25,Female,White,Some-college,33,<=50K
34,Male,White,HS-grad,44,<=50K
24,Male,White,Some-college,42,<=50K
65,Male,Asian,Assoc-voc,39,<=50K
30,Female,White,Some-college,40,>50K
42,Male,White,Assoc-voc,56,<=50K
66,Female,White,Bachelors,37,<=50K
51,Male,White,Some-college,41,<=50K
45,Male,White,Doctorate,40,>50K
55,Male,White,HS-grad,36,<=50K
37,Female,Hispanic,HS-grad,54,<=50K
29,Male,Hispanic,Assoc-voc,42,<=50K
26,Male,Hispanic,HS-grad,33,<=50K
24,Male,Asian,HS-grad,39,>50K
26,Male,Asian,Some-college,30,<=50K
52,Female,White,HS-grad,38,<=50K
68,Female,White,Bachelors,51,<=50K
55,Female,White,Assoc-voc,30,<=50K
30,Female,Black,Some-college,49,<=50K
64,Male,Asian,Some-college,48,>50K
58,Female,White,Masters,34,>50K
45,Male,White,Assoc-voc,38,<=50K
49,Male,White,Some-college,42,<=50K
66,Male,Hispanic,Bachelors,38,>50K
56,Male,White,HS-grad,39,<=50K
45,Female,White,HS-grad,39,<=50K
52,Female,Hispanic,HS-grad,45,<=50K
52,Male,Hispanic,Bachelors,41,>50K
60,Male,White,Doctorate,45,<=50K
27,Male,White,Masters,52,>50K
32,Male,White,Some-college,38,<=50K
61,Male,Black,Masters,43,>50K
50,Female,White,Some-college,41,<=50K
64,Male,White,Bachelors,42,>50K
